warehouse_code,name,address,city,lat,lng,postal_code,is_active
FI13,Pune NDC,"Ghat No : 1456, Global Wings Services Pvt Ltd, Taluka Shirur, Ranjangaon Ganpati, Pune,Maharashtra, 412209","Taluka Shirur.,Maharashtr",18.779421,74.249645,412220,true
RI10,FG Faridabad,"C/O ADARSH MARKETING,44 KM MILESTONE,MATHURA ROAD
 VILL- SOFTA, DISTT- PALWAL",PALWAL HARYANA,28.2601471774702,77.2901235589935,121102,true
RI13,FG Jammu,"PLOT NO. 71,PHASE 3, INDUSTRIAL AREA,GANGYAL",JAMMU (J&K),32.6765709591861,74.8777131077811,180010,true
RI21,FG Mumbai Bhiwandi,"Gala No. 1A to 5B, PEB Structure,B No C , Survey No. 22/1, 22/2, 22/3
 Village Dapode, Tal. Bhiwandi-421302","Taluka Bhiwandi, Thane",19.312562,73.135976,421302,true
RI24,FG Nagpur,"100/2, VILLAGE NIMJI,TAL-KALMESHWAR,","NAGPUR, MAHARASTRA",21.147549,78.884805,441501,true
RI25,FG Ahmedabad,"ANMOL LAXMI INDUSTRIAL AND LOGISTIC
 SURVEY NO - 600/602/601/617 WAREHOUSE NO,4 / 5 , N H NO-8,VILLAGE - KANERA","VILLAGE - KANERA , TEHSIL",22.819665,72.611381,387540,true
RI29,FG Chennai,"Alamathi Village, Ponneri Taluk,Plot No.A1, Survey no.295/2A4B","Kannagi Street,T.H.Road,C",13.201376443874,80.1209700851911,600052,true
RI31,FG Bangalore,"Survey No.45/1 Heggadadeanapura Village,Dasanapura, Hobli Bangalore, North Taluk
 Rural Dist, Bangalore",BANGALORE,13.0930234469019,77.3710705712853,562123,true
RI34,FG Hyderabad,"Survey No. 578,581,Rampally Dayara Keesara Mandal,Rangareddy District Hyderabad",Rangareddy District Hyder,17.4863303940825,78.6605946874149,501301,true
RI36,FG Guntur,"R S No. 172/1 and 173/1C,Thakkelpadu Village, Peddakakani Mandal,Guntur Dist, Andhra Pradesh.","GUNTUR, ANDHRA PRADESH",16.3027747047685,80.4994357377204,522509,true
RI38,FG Salem,"NTL LOGISTICS PLUS INDIA (P) LTD.,CHINNAGOUNDAPALAYAM,BEHIND A.V.S COLLEGE
 RAMALINGAPURAM (PO),Attur Road,","Attur Rd, SALEM, TAMILNAD",11.6613265395006,78.258852355724,636106,true
RI43,FG Guwahati,"Bhagya Kalita Comp,Boragaon(W)","GUWAHATI, ASSAM",26.086986,91.558534,781033,true
RI52,FG Lucknow,"M/s Varuna Spinning Mill,19.8 Km Stone , Kanpur Road,","LUCKNOW, UTTAR PRADESH",26.709341,80.835317,227101,true
RI62,New- Ranchi,"Plot No- 5 ,Tatisilwai Industrial Area,
 Phase 1, Tatisilwai, Ranchi, Jharkhand",Ranchi,23.374475,85.430452,835103,true
