category,sub_category,category_code,category_description,material_code,material_description
MWO,SOLO,50000066,MAGICOOK PRO 20SE BLK,50070,MAGICOOK PRO 20SE BLACK
AC,SPLIT,43000128,1.5T 3DCOOL ELITE WIFI PR,43139,1.5T 3DCOOL ELITE WIFI PRO 3S COPR INV-O
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43117,1.5T 3DCOOL PURAFRESH INV 3S COPR-ODU-CU
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43116,1.5T 3DCOOL WiFi INVTR 3S COPR-W-ODU-CUF
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43115,2.0T MAGICOOL INVTR 3S COPR-W-ODU-CUFT
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43114,1.5T MAGICOOL INVTR 3S COPR-W-ODU-CUFT
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43113,1.0T MAGICOOL INVTR 3S COPR-W-ODU-CUFT
AC,SPLIT,43000106,1.5T 3DCOL XTREME HD 4S-W,43112,1.5T 3DCOOL XTREME HD 4S-W-ODU('18)
AC,SPLIT,43000105,1.0T 3DCOL XTREME HD 4S-W,43111,1.0T 3DCOOL XTREME HD 4S-W-ODU('18)
AC,SPLIT,43000101,1.5T MGCL DLX 3S COPR-WHT,43107,1.5T MGCL DLX 3S COPR-W-ODU(18)
AC,SPLIT,43000100,1.5T MGCL PRM 3S COPR-WHT,43106,1.5T MGCL PRM 3S -W-ODU('18)
AC,SPLIT,43000099,1.0T MGCL DLX 3S COPR-W-O,43105,1.0T MGCL DLX 3S COPR-W-ODU('18)
AC,SPLIT,43000085,2.0T MGCL INVTR 3S COPR-W,43091,2.0T MAGICOOL INVERTER 3S COPR-W-ODU
AC,SPLIT,43000081,1.5T MGCL ROYAL 3S COPR-I,43087,1.5T MGCL ROYAL 3S COPR-INSTI (ODU)
AC,SPLIT,43000080,1.5T MGCL ROYAL 3S COPR-(,43086,1.5T MGCL ROYAL 3S COPR-(ODU)
AC,SPLIT,43000079,1.5T 3DCOOL HD COPR 5S-(O,43085,1.5T 3DCOOL HD COPR 5S-(ODU)
AC,SPLIT,43000078,1.0T 3DC HD COPR 5S-(ODU),43084,1.0T 3DC HD COPR 5S-(ODU)
AC,SPLIT,43000077,1.0T MGC DLX 5S-(ODU),43083,1.0T MGC DLX 5S-(ODU)
AC,SPLIT,43000076,1.5T MGCL ROYAL 5S-(ODU),43082,1.5T MGCL ROYAL 5S-(ODU)
AC,SPLIT,43000075,1.5T MGCL PRM(N) 3S-(ODU),43081,1.5T MGCL PRM COPR (N) 3S - (ODU)
AC,SPLIT,43000074,1.5T MGCL ROYAL 3S-ODU   ,43080,1.5T MGCL ROYAL 3S-ODU
AC,SPLIT,43000073,1.5T MGCL PRM (N)2S-ODU,43079,1.5T MGCL PRM COPR (N) 2S - (ODU)
AC,SPLIT,43000071,1.5T 3D COOL INVTER 4S -,43077,1.5T 3D COOL INVERTER 4S - WHT-ODU
AC,SPLIT,43000070,1T 3D COOL INVTER 5S - WH,43076,1T 3D COOL INVERTER 5S - WHT-ODU
AC,SPLIT,43000069,1T 3D COOL INVTER 4S - WH,43075,1T 3D COOL INVERTER 4S - WHT-ODU
AC,SPLIT,43000022,1.5T3D COOL DLS III-CUFT,43074,1.5 T MAGICOOL 5S EFT - ODU
AC,SPLIT,43000021,1.5T3D COOL CC PLT V-CUFT,43073,1.5T FANTASIA INVERTER-ODU CUFT
AC,SPLIT,43000068,1.5T EZ FAN INVTR-ODU,43072,1.5T EZ FANTASIA INVERTER-ODU
AC,SPLIT,43000067,1.0T EZ FAN INVTR-ODU,43071,1.0T EZ FANTASIA INVERTER-ODU
AC,SPLIT,43000065,1.5T MGCL PRM COPR 2S -OD,43069,1.5T MAGICOOL PRM COPR 2S -ODU
AC,SPLIT,43000063,1T MGCL PRM COPR 2S -ODU,43067,1T MAGICOOL PRM COPR 2S -ODU
AC,SPLIT,43000062,1.5T MGCL DLX COPR 3S -OD,43066,1.5T MAGICOOL COPR 3S -ODU
AC,SPLIT,43000060,1T MGCL DLX COPR 3S -ODU,43064,1T MAGICOOL COPR 3S -ODU
AC,SPLIT,43000059,1.5T3DCOL HD COPR3S - ODU,43063,1.5T 3DCOOL HD COPR 3S - ODU
AC,SPLIT,43000057,2.0T 3DCOOL HD 3S - ODU,43061,2.0T 3DCOOL HD 3S - ODU
AC,SPLIT,43000056,1.5T 3DCOOL HD 5S - ODU,43060,1.5T 3DCOOL HD 5S - ODU
AC,SPLIT,43000055,1.5T 3DCOOL HD 3S - ODU,43059,1.5T 3DCOOL HD 3S - ODU
AC,SPLIT,43000054,1.2T 3DCOOL HD 5S - ODU,43058,1.2T 3DCOOL HD 5S - ODU
AC,SPLIT,43000053,1T 3DCOOL HD 5S - ODU,43057,1T 3DCOOL HD 5S - ODU
AC,SPLIT,43000051,1.5T 3DCOL XTRM HD 5S -OD,43055,1.5T 3DCOOL XTREME HD 5S  -ODU
AC,SPLIT,43000050,1.5T 3DCOL XTRM HD 3S -OD,43054,1.5T 3DCOOL XTREME HD 3S -ODU
AC,SPLIT,43000049,1T 3DCOL XTRM HD 5S -ODU,43053,1T 3DCOOL XTREME HD 5S -ODU
AC,SPLIT,43000047,1.5T MAGICOOL DLX PLUS II,43051,1.5T MAGICOOL DLX PLUS III WHITE-ODU
AC,SPLIT,43000021,1.5T3D COOL CC PLT V-CUFT,43050,1.5T Hot & Cold CUFT - ODU
AC,SPLIT,43000021,1.5T3D COOL CC PLT V-CUFT,43048,1.5 Ton Fantasia Inv White (New)-ODU-CUF
AC,SPLIT,43000022,1.5T3D COOL DLS III-CUFT,43047,1.5T MAGICOOL CLS  II WHITE  -ODU-CUFT
AC,SPLIT,43000046,1.5 T MASTERMIND DLX III,43046,1.5 T MASTERMIND DLX III -ODU
AC,SPLIT,43000045,1.2 T 3D COOL PLT V - ODU,43045,1.2 T 3D COOL PLT V - ODU
AC,SPLIT,43000044,1 T 3D COOL DLX PLUS III,43044,1 T 3D COOL DLX PLUS III -ODU
